code_muni,name_muni,code_state,name_metro
2700300,Arapiraca,27,RM Agreste
2701506,Campo Grande,27,RM Agreste
2702009,Coité Do Nóia,27,RM Agreste
2702355,Craíbas,27,RM Agreste
2702603,Feira Grande,27,RM Agreste
2702900,Girau Do Ponciano,27,RM Agreste
2703700,Jaramataia,27,RM Agreste
2704005,Junqueiro,27,RM Agreste
2704104,Lagoa Da Canoa,27,RM Agreste
2704203,Limoeiro De Anadia,27,RM Agreste
2705903,Olho D'água Grande,27,RM Agreste
2708204,São Brás,27,RM Agreste
2708808,São Sebastião,27,RM Agreste
2709103,Taquarana,27,RM Agreste
2709202,Traipu,27,RM Agreste
2701100,Branquinha,27,RM da Zona da Mata
2701357,Campestre,27,RM da Zona da Mata
2702108,Colônia Leopoldina,27,RM da Zona da Mata
2702801,Flexeiras,27,RM da Zona da Mata
2703007,Ibateguara,27,RM da Zona da Mata
2703502,Jacuípe,27,RM da Zona da Mata
2703809,Joaquim Gomes,27,RM da Zona da Mata
2703908,Jundiá,27,RM da Zona da Mata
2705101,Matriz De Camaragibe,27,RM da Zona da Mata
2705507,Murici,27,RM da Zona da Mata
2705606,Novo Lino,27,RM da Zona da Mata
2707305,Porto Calvo,27,RM da Zona da Mata
2708105,Santana Do Mundaú,27,RM da Zona da Mata
2708303,São José Da Laje,27,RM da Zona da Mata
2708501,São Luís Do Quitunde,27,RM da Zona da Mata
2709301,União Dos Palmares,27,RM da Zona da Mata
2701407,Campo Alegre,27,RM de Caetés
2702306,Coruripe,27,RM de Caetés
2707800,Roteiro,27,RM de Caetés
2708600,São Miguel Dos Campos,27,RM de Caetés
2709152,Teotônio Vilela,27,RM de Caetés
2700805,Belém,27,RM de Palmeira dos Índios
2701209,Cacimbinhas,27,RM de Palmeira dos Índios
2702553,Estrela De Alagoas,27,RM de Palmeira dos Índios
2703106,Igaci,27,RM de Palmeira dos Índios
2704401,Major Isidoro,27,RM de Palmeira dos Índios
2705309,Minador Do Negrão,27,RM de Palmeira dos Índios
2706307,Palmeira Dos Índios,27,RM de Palmeira dos Índios
2701803,Carneiros,27,RM do Médio Sertão
2702504,Dois Riachos,27,RM do Médio Sertão
2704609,Maravilha,27,RM do Médio Sertão
2705705,Olho D'água Das Flores,27,RM do Médio Sertão
2706000,Olivença,27,RM do Médio Sertão
2706109,Ouro Branco,27,RM do Médio Sertão
2707206,Poço Das Trincheiras,27,RM do Médio Sertão
2708006,Santana Do Ipanema,27,RM do Médio Sertão
2708956,Senador Rui Palmeira,27,RM do Médio Sertão
2700102,Água Branca,27,RM do Sertão
2702405,Delmiro Gouveia,27,RM do Sertão
