name_metro,year,idhm,idhm_l,idhm_e,idhm_r,espvida,mort1,t_env,razdep,anosest,t_analf15m,t_analf18m,t_analf25m,t_fund25m,t_med25m,t_super25m,t_flfund,t_flmed,t_flsuper,rdpc,rdpct,renocup,prentrab,rdpc1,rdpc2,rdpc3,rdpc4,rdpc5,rdpc10,r1040,r2040,gini,theil,pind,pmpob,ppob,rind,rmpob,rpob,poptot,pop_young,pop_adult,pop_elder
Manaus,2000,0.585,0.73,0.414,0.661,68.77,34.2,3.2,60.27,7.99,7.65,8.23,10.14,46.33,31.72,4.8,85.77,24.41,4.85,487.67,499.47,1237.63,80,53.05,129.36,220.81,397.39,1637.71,2527.48,27.71,17.96,0.63,0.72,13.23,32.75,55.91,38.18,77.48,124.5,1631641,1183579,2431651,136924
Belém,2000,0.621,0.752,0.474,0.672,70.13,29.4,4.16,52.38,8.64,6.04,6.42,7.68,50.58,31.91,7.15,91.48,26.83,6.5,524.82,530.82,1191.39,76.52,67.48,146.36,239.12,418.62,1752.52,2727.01,25.51,16.39,0.62,0.7,9.19,28.08,53.12,41.76,83.82,134.4,1964065,1145444,2847972,205567
Grande São Luís,2000,0.642,0.729,0.56,0.647,68.73,38.3,3.77,54.37,9.37,8.61,9.33,11.38,54.17,39.12,6.12,93.22,38.67,5.79,449.12,461.22,1080.89,77.65,47.3,113.34,187.9,344.81,1552.26,2422.59,30.16,19.33,0.65,0.76,15.3,38.1,61.6,38.73,77.12,119.63,1086365,671680,1643838,107642
Grande Teresina,2000,0.583,0.749,0.421,0.628,69.91,29.47,4.67,56.9,8.13,17.98,19.55,23.44,38.24,25.15,5.17,93.01,24.16,6.71,399.39,406.12,884.92,74.53,41.85,100.81,168.1,297.01,1389.18,2215.62,31.06,19.48,0.65,0.79,18.1,42.35,65.89,38.6,74.85,115.19,1007018,606769,1439690,118194
Fortaleza,2000,0.622,0.743,0.488,0.663,69.55,33,4.94,56.4,8.99,14.44,15.44,18.06,40.47,26.49,6.31,92.11,31.12,7.62,496.32,503.71,1089.66,74.23,55.31,123.68,204.12,366.34,1732.13,2717.76,30.37,19.35,0.65,0.77,12.8,34.31,59.25,41.43,79.78,126.04,3041196,1815696,4477382,379718
Natal,2000,0.625,0.742,0.487,0.676,69.49,39.6,5.34,55.61,9.16,16.35,17.41,20.16,42.16,29.35,7.6,91.57,31.48,8.66,537.69,545.65,1149.13,71.3,58.6,132.26,226.69,421.89,1849,2837.34,29.73,19.38,0.64,0.76,11.64,31.67,55.03,40.93,79.94,126.76,1124946,666506,1677979,149630
Recife,2000,0.627,0.738,0.49,0.683,69.26,38.4,5.5,49.78,8.75,12.79,13.47,15.5,44.9,31.14,8.95,91.67,30.54,7.91,560.66,567.94,1242.48,71.15,60.93,135.4,228.64,418.36,1959.96,3058.44,31.16,19.97,0.65,0.79,10.9,30.6,54.82,41.14,80.77,128.83,3306954.15299,1760568,4823267,444277
Petrolina_Juazeiro,2000,0.536,0.74,0.349,0.596,69.41,38.76,4.37,62.49,7.73,20.83,22.37,26.45,26.5,17.85,4.09,87.96,18.59,2.99,326.37,336.18,777.64,79.1,37.4,93.2,153.86,262.93,1084.47,1700.11,26.03,16.61,0.62,0.69,20.41,45.92,69.39,38.03,73.53,112.03,561177,391909,801381,62264
Maceió,2000,0.567,0.681,0.402,0.666,65.85,45.4,4.36,55.29,7.58,18.88,19.84,22.27,39.62,27.64,7.96,86.54,22.34,7.56,503.36,511.85,1154.08,70.37,50.82,115.65,195.57,362.49,1792.28,2847.42,34.21,21.53,0.67,0.83,14.43,37.01,60.04,40.98,78.2,120.77,1019183,638736,1494203,111297
Salvador,2000,0.636,0.743,0.497,0.698,69.58,39.8,4.32,46.31,8.8,7.68,8.12,9.62,50.36,36.16,8.04,92.33,28.93,7.62,614.59,620.21,1284.65,74.35,66.36,149.19,254.38,476.78,2126.22,3279.92,30.43,19.73,0.64,0.78,9.57,27.61,50.49,42.01,82.21,131.47,3099673,1635711,4719234,339331
